"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
12.5,0.119927501573292,0.319927501573292,0.790419040118966,0.0896534583077419,0.880072498426708,0.790419040118966,0.898129461645326,0.898129461645326,2.3712571203569,"CSTR"
13,0.119446560797805,0.319446560797805,0.790850987199228,0.0897024520029666,0.880553439202195,0.790850987199228,0.898129461645884,0.898129461645884,2.37255296159768,"CSTR"
13.5,0.119049043345289,0.319049043345289,0.791208009335257,0.0897429473194542,0.880950956654711,0.791208009335257,0.898129461646344,0.898129461646344,2.37362402800577,"CSTR"
14,0.118720374623672,0.318720374623672,0.791503196397598,0.0897764289787303,0.881279625376328,0.791503196397598,0.898129461646724,0.898129461646724,2.37450958919279,"CSTR"
14.5,0.118448559093004,0.318448559093004,0.791747321934101,0.0898041189728952,0.881551440906996,0.791747321934101,0.898129461647038,0.898129461647038,2.3752419658023,"CSTR"
15,0.11822371359285,0.31822371359285,0.791949262302337,0.089827024104813,0.88177628640715,0.791949262302337,0.898129461647298,0.898129461647298,2.37584778690701,"CSTR"
15.5,0.118037688326848,0.318037688326848,0.792116337074534,0.0898459745986184,0.881962311673152,0.792116337074534,0.898129461647513,0.898129461647513,2.3763490112236,"CSTR"
16,0.117883758058002,0.317883758058002,0.79225458638418,0.0898616555578177,0.882116241941998,0.79225458638418,0.898129461647691,0.898129461647691,2.37676375915254,"CSTR"
16.5,0.117756369802362,0.317756369802362,0.792368997529769,0.0898746326678699,0.882243630197638,0.792368997529769,0.898129461647838,0.898129461647838,2.37710699258931,"CSTR"
17,0.117650935958535,0.317650935958535,0.792463690771271,0.0898853732701936,0.882349064041465,0.792463690771271,0.898129461647959,0.898129461647959,2.37739107231381,"CSTR"
17.5,0.117563663528927,0.317563663528927,0.792542072711581,0.0898942637594923,0.882436336471073,0.792542072711581,0.89812946164806,0.89812946164806,2.37762621813474,"CSTR"
