"tau","CA","CB","CP","CI","V_axial","X_A","Y_P","S_P","purity","production_rate","reactor"
0,1,1.2,0,0,0,0,0,0,0,0,"PFR"
0.0668002672010688,0.955375731274387,1.15537573127439,0.0404046593283611,0.00421960939725234,0.200400801603206,0.0446242687256133,0.0404046593283611,0.905441356840169,0.905441356840169,0.121213977985083,"PFR"
0.133600534402138,0.914260636350489,1.11426063635049,0.0776319674971065,0.00810739615240474,0.400801603206413,0.0857393636495113,0.0776319674971065,0.905441366570111,0.905441366570111,0.232895902491319,"PFR"
0.200400801603206,0.876256552076754,1.07625655207675,0.112042437898501,0.0117010100247454,0.601202404809619,0.123743447923246,0.112042437898501,0.905441369813418,0.905441369813418,0.336127313695502,"PFR"
0.267201068804275,0.841024002276904,1.0410240022769,0.143943446309096,0.0150325514140001,0.801603206412826,0.158975997723096,0.143943446309096,0.905441371435044,0.905441371435044,0.431830338927287,"PFR"
0.334001336005344,0.808271873205262,1.00827187320526,0.17359857915968,0.0181295476350586,1.00200400801603,0.191728126794738,0.17359857915968,0.905441372407976,0.905441372407976,0.52079573747904,"PFR"
0.400801603206413,0.777748390409315,0.977748390409314,0.201235803457261,0.0210158061334242,1.20240480961924,0.222251609590685,0.201235803457261,0.905441373056556,0.905441373056556,0.603707410371784,"PFR"
0.467601870407482,0.74923414333646,0.94923414333646,0.227053782594747,0.0237120740687939,1.40280561122244,0.25076585666354,0.227053782594747,0.905441373519799,0.905441373519799,0.68116134778424,"PFR"
0.53440213760855,0.722537887555278,0.922537887555278,0.251225677193487,0.0262364352512342,1.60320641282565,0.277462112444722,0.251225677193487,0.905441373867206,0.905441373867206,0.753677031580462,"PFR"
0.601202404809619,0.697491898649378,0.897491898649378,0.273903351880041,0.0286047494705809,1.80360721442886,0.302508101350622,0.273903351880041,0.905441374137389,0.905441374137389,0.821710055640124,"PFR"
0.668002672010688,0.673948346961148,0.873948346961148,0.295220657743176,0.0308309952956767,2.00400801603206,0.326051653038852,0.295220657743176,0.905441374353516,0.905441374353516,0.885661973229527,"PFR"
