"tau","CA","CB","CP","CI","V_reactor","X_A","Y_P","S_P","purity","production_rate"
6.6,0.126437806574499,0.326437806574499,0.790959355424329,0.0826028380011719,19.8,0.873562193425501,0.790959355424329,0.90544137609401,0.90544137609401,2.37287806627299
7.1,0.11520102089656,0.31520102089656,0.801133606123083,0.0836653729803576,21.3,0.884798979103441,0.801133606123083,0.905441376107174,0.905441376107174,2.40340081836925
7.6,0.105285047253301,0.305285047253301,0.810111938954224,0.0846030137924743,22.8,0.894714952746699,0.810111938954224,0.905441376118515,0.905441376118515,2.43033581686267
8.1,0.0964838114918593,0.29648381149186,0.818080941982514,0.085435246525626,24.3,0.903516188508141,0.818080941982514,0.905441376128373,0.905441376128373,2.45424282594754
8.6,0.0886318976587188,0.288631897658719,0.825190389656703,0.0861777126845777,25.8,0.911368102341281,0.825190389656703,0.905441376137007,0.905441376137007,2.47557116897011
9.1,0.0815948260029581,0.281594826002958,0.831562045507661,0.0868431284893804,27.3,0.918405173997042,0.831562045507661,0.905441376144619,0.905441376144619,2.49468613652298
9.6,0.075262154679455,0.275262154679455,0.837295908151729,0.087441937168816,28.8,0.924737845320545,0.837295908151729,0.905441376151371,0.905441376151371,2.51188772445519
10.1,0.0695423424495054,0.269542342449506,0.842474862814142,0.0879827947363522,30.3,0.930457657550495,0.842474862814142,0.90544137615739,0.90544137615739,2.52742458844243
10.6,0.0643588605928986,0.264358860592899,0.847168201764719,0.0884729376423819,31.8,0.935641139407101,0.847168201764719,0.905441376162781,0.905441376162781,2.54150460529416
11.1,0.0596472362584071,0.259647236258407,0.851434301390663,0.0889184623509298,33.3,0.940352763741593,0.851434301390663,0.90544137616763,0.90544137616763,2.55430290417199
11.6,0.055352765429154,0.255352765429154,0.855322692972348,0.0893245415984972,34.8,0.944647234570846,0.855322692972348,0.905441376172007,0.905441376172007,2.56596807891705
12.1,0.0514287282139318,0.251428728213932,0.858875678632411,0.0896955931536573,36.3,0.948571271786068,0.858875678632411,0.905441376175972,0.905441376175972,2.57662703589723
12.6,0.0478349821106281,0.247834982110628,0.862129605053243,0.0900354128361283,37.8,0.952165017889372,0.862129605053243,0.905441376179575,0.905441376179575,2.58638881515973
13.1,0.0445368427766889,0.244536842776689,0.865115876873733,0.0903472803495773,39.3,0.955463157223311,0.865115876873733,0.905441376182857,0.905441376182857,2.5953476306212
13.6,0.0415041861502053,0.241504186150206,0.86786176966598,0.0906340441838137,40.8,0.958495813849795,0.86786176966598,0.905441376185855,0.905441376185855,2.60358530899794
14.1,0.0387107224303089,0.238710722430309,0.870391087303488,0.090898190266203,42.3,0.961289277569691,0.870391087303488,0.9054413761886,0.9054413761886,2.61117326191046
14.6,0.0361334047244857,0.236133404724486,0.872724697396351,0.0911418978791628,43.8,0.963866595275514,0.872724697396351,0.905441376191119,0.905441376191119,2.61817409218905
15.1,0.0337519440893141,0.233751944089314,0.874880970393443,0.0913670855172426,45.3,0.966248055910686,0.874880970393443,0.905441376193434,0.905441376193434,2.62464291118033
15.6,0.0315484092737524,0.231548409273753,0.8768761419914,0.0915754487348471,46.8,0.968451590726248,0.8768761419914,0.905441376195567,0.905441376195567,2.6306284259742
16.1,0.0295068943861206,0.229506894386121,0.87872461404269,0.0917684915711891,48.3,0.970493105613879,0.87872461404269,0.905441376197533,0.905441376197533,2.63617384212807
16.6,0.0276132413989692,0.22761324139897,0.880439205811183,0.0919475527898468,49.8,0.972386758601031,0.880439205811183,0.90544137619935,0.90544137619935,2.64131761743355
17.1,0.0258548072097206,0.225854807209721,0.88203136488509,0.0921138279051888,51.3,0.974145192790279,0.88203136488509,0.905441376201031,0.905441376201031,2.64609409465527
17.6,0.0242202671205218,0.224220267120522,0.883511345114429,0.0922683877650484,52.8,0.975779732879478,0.883511345114429,0.905441376202588,0.905441376202588,2.65053403534329
18.1,0.0226994482554638,0.222699448255464,0.884888357441973,0.0924121943025623,54.3,0.977300551744536,0.884888357441973,0.905441376204032,0.905441376204032,2.65466507232592
18.6,0.0212831877189112,0.221283187718912,0.886170698332565,0.0925461139485231,55.8,0.978716812281089,0.886170698332565,0.905441376205373,0.905441376205373,2.6585120949977
19.1,0.01996321130441,0.21996321130441,0.887365859595091,0.0926709291004986,57.3,0.98003678869559,0.887365859595091,0.905441376206619,0.905441376206619,2.66209757878527
19.6,0.01873202935559,0.21873202935559,0.888480622674329,0.0927873479700808,58.8,0.98126797064441,0.888480622674329,0.905441376207778,0.905441376207778,2.66544186802299
20.1,0.0175828470079785,0.217582847007979,0.889521139921724,0.0928960130702969,60.3,0.982417152992021,0.889521139921724,0.905441376208857,0.905441376208857,2.66856341976517
20.6,0.0165094865407741,0.216509486540775,0.890493004901307,0.0929975085579183,61.8,0.983490513459226,0.890493004901307,0.905441376209863,0.905441376209863,2.67147901470392
21.1,0.0155063199684868,0.215506319968487,0.89140131342401,0.0930923666075025,63.3,0.984493680031513,0.89140131342401,0.905441376210801,0.905441376210801,2.67420394027203
21.6,0.0145682103253472,0.214568210325348,0.892250716711194,0.0931810729634583,64.8,0.985431789674653,0.892250716711194,0.905441376211677,0.905441376211677,2.67675215013358
22.1,0.0136904603569777,0.213690460356978,0.893045467851331,0.0932640717916911,66.3,0.986309539643022,0.893045467851331,0.905441376212494,0.905441376212494,2.67913640355399
22.6,0.0128687675466961,0.212868767546696,0.893789462521051,0.0933417699322531,67.8,0.987131232453304,0.893789462521051,0.905441376213258,0.905441376213258,2.68136838756315
23.1,0.0120991845778672,0.212099184577868,0.894486274784163,0.0934145406379694,69.3,0.987900815422133,0.894486274784163,0.905441376213973,0.905441376213973,2.68345882435249
23.6,0.0113780844766333,0.211378084476634,0.895139188652874,0.0934827268704931,70.8,0.988621915523367,0.895139188652874,0.905441376214642,0.905441376214642,2.68541756595862
24.1,0.0107021297972159,0.210702129797216,0.895751225988683,0.093546644214101,72.3,0.989297870202784,0.895751225988683,0.905441376215267,0.905441376215267,2.68725367796605
24.6,0.0100682453095646,0.210068245309565,0.896325171232124,0.0936065834583116,73.8,0.989931754690435,0.896325171232124,0.905441376215853,0.905441376215853,2.68897551369637
25.1,0.00947359373023804,0.209473593730238,0.896863593377022,0.0936628128927399,75.3,0.990526406269762,0.896863593377022,0.905441376216403,0.905441376216403,2.69059078013107
25.6,0.0089155541050763,0.208915554105077,0.897368865543722,0.0937155803512019,76.8,0.991084445894924,0.897368865543722,0.905441376216917,0.905441376216917,2.69210659663117
26.1,0.00839170250887834,0.208391702508879,0.897843182454395,0.0937651150367263,78.3,0.991608297491122,0.897843182454395,0.9054413762174,0.9054413762174,2.69352954736319
26.6,0.00789979477489835,0.207899794774899,0.898288576070471,0.0938116291546303,79.8,0.992100205225102,0.898288576070471,0.905441376217852,0.905441376217852,2.69486572821141
27.1,0.00743775100709672,0.207437751007097,0.898706929615884,0.0938553193770191,81.3,0.992562248992903,0.898706929615884,0.905441376218277,0.905441376218277,2.69612078884765
27.6,0.00700364166200598,0.207003641662006,0.899099990179128,0.0938963681588656,82.8,0.992996358337994,0.899099990179128,0.905441376218676,0.905441376218676,2.69729997053738
28.1,0.00659567501584557,0.206595675015846,0.899469380061051,0.0939349449231033,84.3,0.993404324984154,0.899469380061051,0.905441376219051,0.905441376219051,2.69840814018315
28.6,0.00621218585699471,0.206212185856995,0.899816607013156,0.0939712071298496,85.8,0.993787814143005,0.899816607013156,0.905441376219402,0.905441376219402,2.69944982103947
29.1,0.00585162526481153,0.205851625264812,0.900143073492281,0.0940053012429074,87.3,0.994148374735188,0.900143073492281,0.905441376219733,0.905441376219733,2.70042922047684
29.6,0.00551255135364526,0.205512551353646,0.900450085041356,0.0940373636049983,88.8,0.994487448646355,0.900450085041356,0.905441376220043,0.905441376220043,2.70135025512407
30.1,0.00519362087620502,0.205193620876205,0.900738857892059,0.0940675212317361,90.3,0.994806379123795,0.900738857892059,0.905441376220335,0.905441376220335,2.70221657367618
30.6,0.00489358159361763,0.204893581593618,0.901010525873278,0.0940958925331043,91.8,0.995106418406382,0.901010525873278,0.90544137622061,0.90544137622061,2.70303157761983
31.1,0.004611265330858,0.204611265330858,0.901266146699017,0.0941225879701246,93.3,0.995388734669142,0.901266146699017,0.905441376220868,0.905441376220868,2.70379844009705
31.6,0.00434558164604261,0.204345581646043,0.901506707700477,0.0941477106534796,94.8,0.995654418353957,0.901506707700477,0.90544137622111,0.90544137622111,2.70452012310143
32.1,0.00409551205056939,0.20409551205057,0.901733131059381,0.0941713568900491,96.3,0.995904487949431,0.901733131059381,0.905441376221339,0.905441376221339,2.70519939317814
32.6,0.00386010472445831,0.203860104724459,0.901946278592922,0.0941936166826195,97.8,0.996139895275542,0.901946278592922,0.905441376221554,0.905441376221554,2.70583883577877
